NOME_FANTASIA,MUNICIPIO,RUA,BAIRRO,Latitude,Longitude
WRL ASSESSORIA E REABILITACAO,Rio de Janeiro,RUA SILVIA POZZANA,RECREIO DOS SANDEIRA,-22.903,-43.208
MARCELA IGNACCHITI LACERDA AVILA,Rio de Janeiro,RUA VISCONDE DE PIRAJA,IPANEMA,-22.91010025,-43.17800724
CRESCERE,Rio de Janeiro,EST DE JACAREPAGUA,JACAREPAGUA,-22.9452745,-43.3424518
CLINICA DE NEUROREABILITACAO INFANTIL FOLLOW KIDS,Duque de Caxias,ROD WASHINGTON LUIZ,PARQUE DUQUE,-22.786,-43.312
ASSOCIACAO FLUMINENSE DE REABILITACAO AFR,Niterói,RUA GENERAL OSORIO,SAO DOMINGOS,-22.90073,-43.13063
ELIOMAR DE CERQUEIRA JAYME,Rio de Janeiro,AVN NILO PECANHA,CENTRO,-22.9054985,-43.176852
HOSPITAL DO CANCER E DO CORACAO HCCOR,São Gonçalo,ESTRADA DE PACHECO,LAGOINHA,-22.8230575,-42.9805507
ESPACO A REABILITACAO NEUROFUNCIONAL,Rio de Janeiro,AVENIDA BRUXELAS,BONSUCESSO,-22.3876652,-43.5227875
CLINICA MUNICIPAL DE REABILITACAO DE SAO GONCALO,São Gonçalo,RUA GENERAL ANTONIO RODRIGUES,CENTRO,-22.8226556,-43.0411385
RECRIANDO REABILITACAO MULTIDISCIPLINAR,Rio de Janeiro,AVENIDA BELMIRO VALVERDE,CAMPO GRANDE,-22.9125763,-43.5505577
WALKIRIA CERILIO GOMES,Rio de Janeiro,AVENIDA EDGARD ROMERO,MADUREIRA,-22.8752633,-43.3380511
ANA PAULA DUARTE CERQUERIA DIAS BORNELLI,Niterói,RUA MIGUEL DE FRIAS,ICARAI,-22.9000713,-43.1122355
PEDIATRIA RENASCER,Rio de Janeiro,AYRTON SENNA,BARRA DA TIJUCA,-22.9941110167,-43.365483284
SMS CAPSI GUTTMANN BICHO AP 31,Rio de Janeiro,AV PARANAPUA,FREGUESIA,-22.7883142,-43.1837435
CENTRO DE REABILITACAO MARCUS DO NASCIMENTO,Rio de Janeiro,RUA ALMTE TAMANDARE,FLAMENGO,-22.8766447289,-43.2279664278
VALERIA LACERDA DE ALMEIDA OKIDA,Rio de Janeiro,AVN JOAO CABRAL DE MELLO NETO,BARRA DA TIJUCA,-22.9169706,-43.3627877
CRESCER BEM SERVICOS DE PEDIATRIA,Rio de Janeiro,RUA SANTA CLARA,COPACABANA,-22.903,-43.208
PRA CRESCER SAUDAVEL,Rio de Janeiro,AV OLEGARIO MACIEL,BARRA DA TIJUCA,-23.011,-43.011
RENATO LACERDA WERNECK,Rio de Janeiro,RUA FIGUEIREDO DE MAGALHAES,COPACABANA,-22.96942,-43.18638
CLINICA DE REABILITACAO OTTOBOCK RIO DE JANEIRO,Rio de Janeiro,RUA SAO CLEMENTE,BOTAFOGO,-22.9497248,-43.1919561
ASETH CENTRO DE TERAPIAS E REABILITACAO,Rio de Janeiro,RUA AIRES DE SALDANHA,COPACABANA,-22.9782264001,-43.1897985935
ALEXANDRE CERQUEIRA DA SILVA,Rio de Janeiro,RUA SOARES CALDEIRA,MADUREIRA,-22.8706639,-43.3421027
CENTRO DE REABILITACAO INOVA FISIO LTDA,Nova Iguaçu,SEBASTIAO HERCULANO DE MATOS,CENTRO,-22.76161,-43.45261
INSTITUTO DE IMPLANTODONTIA E REABILITACAO ORAL DO MEIER,Rio de Janeiro,RUA MEDINA,MEIER,-22.9001738086,-43.2813477516
CIRD CENTRO INTEGRADO DE REABILITACAO E CLINICA ESPECIALIZ,Rio de Janeiro,AV DAS AMERICAS,BARRA DA TIJUCA,-23.0003828197,-43.3307323
AMA REABILITACAO FISICA,Rio de Janeiro,RUA IVO DO PRADO,CAMPO GRANDE,-22.9028824,-43.5645706
INTEGRA NUCLEO DE REABILITACAO MULTIDISCIPLINAR,Rio de Janeiro,AV JAMBEIRO,VILA VALQUEIRE,-22.87657059,-43.22744607
REABILITACAO MAXILO FACIAL,Rio de Janeiro,EST DO GALEAO,JARDIM CARIOCA,-22.903,-43.208
SERGIO LACERDA DE ANDRADE,Rio de Janeiro,ETR DO PORTELA,MADUREIRA,-22.87215,-43.3391225
INSTITUTO PILON DE REABILITACAO INTEGRATIVA,Rio de Janeiro,REAL GRANDEZA,BOTAFOGO,-22.956468,-43.192121
CLINICA CERES,Rio de Janeiro,AVENIDA DE SANTA CRUZ,REALENGO,-22.877802,-43.441394
BEM ESTAR REABILITACAO,Rio de Janeiro,AVN MAL CAMARA,CENTRO,-22.903,-43.208
CURA CENTRO DE REABILITACAO,Rio de Janeiro,AV DAS AMERICAS,BARRA DA TIJUCA,-23.0055473762,-43.4378814697
FISIOFIX SAUDE E REABILITACAO LTDA,Rio de Janeiro,R ANITA GARIBALDI,COPACABANA,-22.5150261368,-43.1643861477
FLEXIVEL REABILITACAO,Duque de Caxias,ESTRADA XEREM,PARQUE XEREM,-22.5817375,-43.3084689
ESPACO CRESCER SAUDE E DESENVOLVIMENTO,Niterói,R QUINZE DE NOVEMBRO,CENTRO,-22.8966,-43.12388
CLINICA DE DOENCAS DO TORAX E REABILITACAO SAO RAFAEL,Rio de Janeiro,RUA JARDIM BOTANICO,JARDIM BOTANICO,-22.096437,-43.021845
SERUM HEMATOLOGIA E HEMOTERAPIA LTDA AT H DO CANCER,Rio de Janeiro,RUA DO BISPO,RIO COMPRIDO,-22.92466,-43.2102498
THAYSA FERNANDES LACERDA ROCHA COSTA,Rio de Janeiro,AVENIDA DAS AMERICAS,BARRA DA TIJUCA,-23.0042904188,-43.3190525318
REAFISI REABILITACAO E FISIOTERAPIA,Rio de Janeiro,RUA HENRIQUE FERREIRA,BENTO RIBEIRO,-23.0009824,-43.3827357
ELLEN LACERDA DE FREITAS MENDES DA SILVA,Rio de Janeiro,RUA CONDE DE BONFIM,TIJUCA,-22.92423,-43.228885
JBREABILITACAO,Rio de Janeiro,RUA SAO NAUM,SEPETIBA,-22.9850417294,-43.6919376254
PATRICIA CERQUEIRA DE OLIVEIRA,Rio de Janeiro,RUA PROFESSOR CASTILHO,CAMPO GRANDE,-22.911,-43.566
STEPHANIE LYS FERREIRA LACERDA,Rio de Janeiro,RUA SIQUEIRA CAMPOS,COPACABANA,-22.969016,-43.184528
LUIZ CERQUEIRA DA COSTA,Rio de Janeiro,RUA MEDINA,MEIER,-22.9,-43.1667
ANA CLAUDIA GARCIA CERQUEIRA,Rio de Janeiro,AVENIDA DAS AMERICAS,BARRA DA TIJUCA,-23.0008070339,-43.3613848686
PAULA GUEDES LACERDA,Rio de Janeiro,RUA GILDASIO AMADO,BARRA DA TIJUCA,-23.0032823,-43.3262717047
MARCIA MARTINS LACERDA,Rio de Janeiro,RUA CONDE DE BONFIM,TIJUCA,-22.92435375,-43.2324019719
ALBA MARIA CERBINO DE SOUZA,Niterói,QUINZE DE NOVEMBRO,CENTRO,-22.4917844,-44.0815955
SYLVIO JOSE CERQUEIRA FILHO,Rio de Janeiro,RUA VIUVA DANTAS,CAMPO GRANDE,-22.9025702,-43.5537558
LIVIA NEVES CERQUEIRA,Rio de Janeiro,RUA VIUVA DANTAS,CAMPO GRANDE,-22.9025702,-43.5537558
ACERTE O PASSO,São João de Meriti,RUA ALBERTO BATISTA DE MORAES,CENTRO,-22.8023861,-43.3642958
MARIA MARLENE LACERDA BALBI,Rio de Janeiro,RUA DESEMBARGADOR IZIDRO,TIJUCA,-22.9311233,-43.2343662
CERQUEIRA CAMPOS MEDICOS,Rio de Janeiro,AV JORGE CURI,BARRA DA TIJUCA,-22.99244705,-43.3700673689
ANA BEATRIZ CERQUEIRA MENDES,Rio de Janeiro,AV N S COPACABANA,COPACABANA,-22.96767,-43.18213
PONTO DE EQUILIBRIO REABILITACAO SAUDE ESTETICA,Niterói,ESTRADA FRANCISCO DA CRUZ NUNES 2657,ITAIPU,-22.964511,-43.0331072
CRISTIANE LUZIA BRANDAO LACERDA,Rio de Janeiro,RUA VOLUNTARIO DA PATRIA,BOTAFOGO,-22.95155,-43.18374
CENTRO DE ESTUDOS DE REABILITACAO E PEDAGOGIA LTDA,Nova Iguaçu,RUA JOAO MARTINS 439,K 11,-22.767813,-43.4387476
JOSE CERDEIRO NETO,Rio de Janeiro,AVENIDA RIO BRANCO,CENTRO,-22.9046239,-43.1780795
MARIA MARLENE LACERDA BALBI,Rio de Janeiro,AVENIDA NOSSA SENHORA DE COPACABANA,COPACABANA,-22.9839513,-43.1906019
MARCELLE DE CERQUEIRA CAMPOS GUIMARAES FIGUEIREDO,Rio de Janeiro,AVENIDA MERITI,VILA KOSMOS,-22.8489243,-43.3102717
MARCIA MARTINS LACERDA,Rio de Janeiro,RUA HILARIO DE GOUVEIA,COPACABANA,-22.9682469,-43.183887
CAMILA JATOBA AMORIM LACERDA,Rio de Janeiro,RUA PADRE ELIAS GORAYEB,TIJUCA,-22.9259535,-43.2340069
STELLA MONTE FALCAO DE LACERDA,Rio de Janeiro,RUA BARATA RIBEIRO,COPACABANA,-22.97468,-43.1957
ISABEL BARBEITO LACERDA,Rio de Janeiro,AVENIDA NOSSA SENHORA DE COPACABANA,COPACABANA,-22.9725392879,-43.1883716583
LETICIA DE SOUZA LACERDA ARAUJO,Rio de Janeiro,AVENIDA VICE PRESIDENTE JOSE ALENCAR,BARRA OLIMPICA,-22.9668696369,-43.3863562712
MS INCA II HOSPITAL DO CANCER II,Rio de Janeiro,RUA DO EQUADOR,SANTO CRISTO,-22.8991064151,-43.2060527802
CLINICA DE FISIOTERAPIA RENASCER,Rio de Janeiro,AV BRAS DE PINA,VISTA ALEGRE,-22.8339,-43.31883
ASSOCIACAO FLUMINENSE DE REABILITACAO AFR,Niterói,RUA LOPES TROVAO,ICARAI,-22.9028436,-43.1118466
MS INCA HOSPITAL DO CANCER I,Rio de Janeiro,PRACA CRUZ VERMELHA,CENTRO,-22.9121815,-43.1880098
MS INCA HOSPITAL DO CANCER III,Rio de Janeiro,RUA VISCONDE DE SANTA ISABEL,VILA ISABEL,-22.9169815,-43.2565462
SMS CAPS AD II HELENO DE FREITAS AP 21,Rio de Janeiro,DONA MARIANA,BOTAFOGO,-22.9545002,-43.1879307
CAPS CENTRO DE ATENPSICOSSOCIAL DRLESLIE SCHAVIN,Duque de Caxias,RUA MARECHAL DEODORO,25 DE AGOSTO,-22.7932731976,-43.304140027
CENTRO DE ATENCAO PSICOSSOCIAL CAPS III VILA JURANDYR,São João de Meriti,RUA CACILDA,AGOSTINHO PORTO,-22.778855,-43.3894788
CAPS III JAYR NOGUEIRA,Nova Iguaçu,RUA FLORESTA MIRANDA,CENTRO,-22.7624665,-43.4481148
CLINICA DA FAMILIA DA CERAMICA 2,Nova Iguaçu,ESTRADA DE SANTANA,CERAMICA,-22.7312115,-43.4923396
CLINICA DA FAMILIA JACERUBA,Nova Iguaçu,RUA JAPERI,JACERUBA,-22.7177284,-43.5589901
CAPS ADULTO BELFORD ROXO,Belford Roxo,EXPEDICIONARIO ELIAQUIM BATISTA,PRATA,-22.7546784,-43.4092385
CAPS HERBERT DE SOUZA,Niterói,R CLOTILDE DE OLIVEIRA RODRIGUES,FONSECA,-22.881667,-43.105833
CENTRO INTERNAC NEURORREABILITACAO E NEUROCIENCIA SARAH RIO,Rio de Janeiro,AVENIDA EMBAIXADOR ABELARDO BUENO,BARRA DA TIJUCA,-22.9711024,-43.3778478
CENTRO ESPECIALIZADO EM REABILITACAO CER III,São Gonçalo,RUA JOSE AUGUSTO PEREIRA DOS SANTOS,NEVES,-22.8532584,-43.0988402
CAPS II MARTHA E DR JACINTO,Niterói,TRAVESSA NOSSA SRA DE FATIMA,LARGO DA BATALHA,-22.9088429991,-43.0662698473
CAPS II PAULO MARCOS COSTA,São Gonçalo,RUA LADISLAU DE ANDRADE,MUTONDO,-22.856952,-43.658847
UFRJ INST PSIQ CAPSI IPUB CARIM,Rio de Janeiro,AVENIDA VENCESLAU BRAS,BOTAFOGO,-22.9537970412,-43.1754782796
SMS CAPS PEDRO PELLEGRINO AP 52,Rio de Janeiro,PRACA MAJOR VIEIRA DE MELO,CAMPO GRANDE,-22.91846,-43.55836
SMS CAPS SIMAO BACAMARTE AP 53,Rio de Janeiro,R SENADOR CAMARA,SANTA CRUZ,-22.913985,-43.6888634
SMS CAPSI PEQUENO HANS AP 51,Rio de Janeiro,AVENIDA CARLOS PONTES,JARDIM SULACAP,-22.886558,-43.399266
CENTRO INTEGRADO DE REABILITACAO CRESCER LTDA,São João de Meriti,AV DR ARRUDA NEGREIROS,CENTRO,-22.8042132499,-43.3723926544
NASCER COM AMOR CLINICA MEDICA,Rio de Janeiro,R JARDIM BOTANICO,JARDIM BOTANICO,-22.96317011,-43.2170065
GRUPO POPULAR INTEGRADO EM REABILITACAO GPIR,Rio de Janeiro,ESTRADA DA AGUA BRANCA,PADRE MIGUEL,-22.86643,-43.44638
CRESCER CLINICA E CONSULTORIA,Nova Iguaçu,TRAVESSA QUARESMA,CENTRO,-22.7582711561,-43.4506647318
ESPACO ZEN REABILITACAO E SAUDE,Rio de Janeiro,TEIXEIRA ARAGAO,CAMPO GRANDE,-22.908971,-43.567261
ALBERNAZ ODONTOLOGIA ESTETICA E REABILITACAO ORAL,Niterói,R GENERAL ANDRADE NEVES,CENTRO,-22.8995093,-43.1261599
SMS CAPS III LIMA BARRETO AP 51,Rio de Janeiro,AVENIDA RIBEIRO DANTAS,BANGU,-22.870892,-43.457344
CLINICA CERTUN,São Gonçalo,RUA DR NILO PECANHA,NOVA CIDADE,-22.827,-43.054
CANCERCARE,Niterói,AV ERNANI DO AMARAL PEIXOTO,CENTRO,-22.8934625,-43.1237852
INSTITUTO DE REABILITACAO DA COLUNA E FISIOTERAPIA UNIFISIO,São Gonçalo,RUA MONTEIRO LOBATO,ESTRELA DO NORTE,-22.8191645,-43.0374354
CEFIR FISIOTERAPIA E REABILITACAO,Rio de Janeiro,AVENIDA ENGENHEIRO ASSIS RIBEIRO,MARECHAL HERMES,-22.8626877,-43.3679478
CENTRO AVANCADO CERATOCONE,Rio de Janeiro,AV DAS AMERICAS,BARRA DA TIJUCA,-22.998545,-43.349502
SARE SAUDE E REABILITACAO,Niterói,SAO PEDRO,CENTRO,-22.8917,-43.1196
NASCER E VIVER SERVICOS MEDICOS,Nova Iguaçu,RUA DR THIBAU,CENTRO,-22.7596009171,-43.4543214203
CAPS AD III ALCENIR VERAS,Niterói,RUA DR FROES DA CRUZ,CENTRO,-22.886389,-43.124167
CAPS ALCOOL E DROGAS ZAIRA VICENTE BICCHIERI,Belford Roxo,RUA LUCIA,CENTRO,-22.7641238,-43.4017989
CAPS INFANTO JUVENIL DE BELFORD ROXO,Belford Roxo,RUA JOAO FERNADES NETTO,CENTRO,-22.76375,-43.39906
CERQUEIRA JUNIOR SERVICOS MEDICO,Nova Iguaçu,AVENIDA MARECHAL FLORIANO PEIXOTO,CENTRO,-22.7592604231,-43.4519086899
CENTRO DE AT PSICOSINFANTO JUVENIL DE DCAXIAS CAPSIJ DC,Duque de Caxias,RUA GENERAL GURJAO,CENTRO,-22.7936112132,-43.3061389032
SMS CAPS III RUBENS CORREA AP 33,Rio de Janeiro,RUA CAPITAO ALIATAR MARTINS,IRAJA,-22.83944,-43.31964
METAMORFOSE REABILITACAO,Rio de Janeiro,RUA DIAS DA CRUZ,ENGENHO DE DENTRO,-22.903,-43.282
CLINICA DE FISIOTERAPIA E REABILITACAO VITORIA,São Gonçalo,RUA JAIME FIGUEIREDO,CAMARAO,-22.8321454,-43.0765299
FISIO VITAE REABILITACAO LOCOMOTORA LTDA,Niterói,RUA DOMINGUES DE SA,ICARAI,-22.9018743,-43.1031045
SMS CAPS ERNESTO NAZARETH AP 31,Rio de Janeiro,ESTRADA DO CACUIA,COCOTA,-22.48391,-43.11021
SMS CAPSI III ELIZA SANTA ROZA AP 40,Rio de Janeiro,RUA SAMPAIO CORREA,JACAREPAGUA TAQUARA,-22.936209,-43.387629
SMS CAPS PROFETA GENTILEZA AP 52,Rio de Janeiro,ESTRADA DE INHOAIBA,INHOAIBA,-22.907086,-43.597505
JANE CERQUEIRA,Nova Iguaçu,RUA OTAVIO TARQUINIO,CENTRO,-22.7590902294,-43.4509941627
CAPSI MONTEIRO LOBATO,Niterói,RUA ALMIRANTE ARY PARREIRAS,SANTA ROSA,-22.90436982,-43.09617793
LEONARDO DE GOUVEA CERQUEIRA,Niterói,RUA LUIZ LEOPOLDO FERNANDES PINHEIRO,CENTRO,-22.8932397,-43.1196011
BBL SERVICOS EM REABILITACAO,Rio de Janeiro,RUA DOMINGOS LOPES,MADUREIRA,-22.8762233648,-43.3395168171
MOVE REABILITACAO INTELIGENTE,Rio de Janeiro,R DAS LARANJEIRAS,LARANJEIRAS,-22.912863288,-43.2971191406
DROGARIAS CERTA COMENDADOR SOARES,Nova Iguaçu,RUA TOMAS FONSECA,COMENDADOR SOARES,-22.743592709,-43.487298961
DROGARIAS CERTA MARIO GUIMARAES,Nova Iguaçu,AV DOUTOR MARIO GUIMARAES,CENTRO,-22.7586807352,-43.4570421764
DROGARIAS CERTA NILO PECANHA,Nova Iguaçu,AV NILO PECANHA,CENTRO,-22.7582128633,-43.448455861
ESPACO FLORESCER BANGU,Rio de Janeiro,RUA SILVA CARDOSO,BANGU,-22.87678,-43.46409
SANDRO DE ALBUQUERQUE CERBINO TIJUCA,Rio de Janeiro,RUA HADDOCK LOBO,TIJUCA,-22.9738612,-43.3654983
EDUARDO DE BARROS FALCAO DE LACERDA BALIEIRO DE CARVALHO,Rio de Janeiro,ESTRADA DE JACAREPAGUA,FREGUESIA,-22.9423351378,-43.3415591577
A CERQUEIRA CONSULTORIA MEDICA,Rio de Janeiro,ESTRADA DO PAU FERRO,PECHINCHA,-22.821949,-42.9158954
MH CLINIC CLINICA DE REABILITACAO INFANTO JUVENIL LTDA,Rio de Janeiro,R TIROL,FREGUESIA JACAREPAG,-22.9392037896,-43.3352763883
NUCLEO DE REABILITACAO NEUROLOGICO E FISIATRICO,Rio de Janeiro,R VOLUNTARIOS DA PATRIA,BOTAFOGO,-22.9526139871,-43.1882750988
ESPACO MULTIDISCIPLINAR EM NEUROREABILITACAO EQUILIBRIO EM A,Rio de Janeiro,AVENIDA CESARIO DE MELO,CAMPO GRANDE,-22.90547,-43.56396
ROTA FISIO REABILITACAO ORTOP TRAUMATO E ACUPUNTURA,Rio de Janeiro,RUA DONA CLARA,MADUREIRA,-22.7242866,-43.395504
CENTRO INTEGRADO DE REABILITACAO DA FACE,Rio de Janeiro,AV EVANDRO LINS E SILVA,BARRA DA TIJUCA,-23.0030374,-43.3254314
SERGIO AUGUSTO DE LACERDA FRANCO,Rio de Janeiro,AVENIDA NOSSA SENHA DE COPACABANA,COPACABANA,-22.903,-43.208
CIENTIFICALAB CER CENTRO,Rio de Janeiro,RUA FREI CANECA,CENTRO,-22.908,-43.19
ESPACO CRESCER CENTRO DE TERAPIA INTEGRADO,Rio de Janeiro,AV DAS AMERICAS,RECREIO DOS BANDEIRA,-22.9676990039,-43.6173534393
FLORESCER TERAPIAS,Duque de Caxias,RUA AILTON DA COSTA,JARDIM VINTE E CINCO,-22.7889399328,-43.3073924002
CLINICA CERTA SAUDE,Rio de Janeiro,AV NOSSA SENHORA DE COPACABANA,COPACABANA,-22.9694153,-43.1847426
TL FRANCA REABILITACAO ORAL,Rio de Janeiro,EST AGUA BRANCA,BANGU,-22.8639939479,-43.4669571465
CENTRO DE REABILITACAO OROFACIAL,Rio de Janeiro,AVN EMBAIX ABELARDO BUENO,JACAREPAGUA,-22.903,-43.208
JOSE RIBAMAR DE ALMEIDA CERQUEIRA FILHO,Rio de Janeiro,AV NOSSA SENHORA DE COPACABANA,COPACABANA,-22.97632,-43.19063
CLINICA DE REABILITACAO ORAL CG,Rio de Janeiro,RUA ALMTE TAMANDARE,FLAMENGO,-22.93101,-43.18001
MD TERAPIAS REABILITACAO LTDA,Niterói,R GAVIAO PEIXOTO,ICARAI,-22.9037994,-43.1114769
CIENTIFICALAB UNIDADE CER LEBLON,Rio de Janeiro,RUA MARIO RIBEIRO,LEBLON,-22.9777155477,-43.2244106019
AZEVEDO CERQUEIRA SERVICOS MEDICOS,Rio de Janeiro,RUA PIO CORREIA,JARDIM BOTANICO,-22.9589642,-43.2058629
FLORESCER CLINICA DE DESENVOLVIMENTO INFANTIL,Duque de Caxias,AV NOSSA SENHORA DAS GRACAS,VILA NOSSA SENHORA D,-22.5982997899,-43.2905127288
ODONTOLOGIA INTEGRADA LACERDA,Duque de Caxias,AV AUTOMOVEL CLUBE,VILA SANTA CRUZ,-22.6429175019,-43.2806289196
DR RENAN CHIERICI REABILITACAO ORAL,Nova Iguaçu,RUA CORONEL BERNADINO DE MELO,CENTRO,-22.7599716913,-43.4524856187
ESPACO CRESCER SERVICE,Niterói,R DOUTOR ARTUR TIBAU,INGA,-22.9004900718,-43.1247067451
FLORESCER SERVICOS DE FISIOTERAPIA,Rio de Janeiro,RUA BARAO DE MESQUITA,GRAJAU,-22.9238464,-43.2362281
H2O SAUDE E NEUROREABILITACAO,Rio de Janeiro,R PROFESSOR GONCALVES,CAMPO GRANDE,-22.9100083,-43.5654858
DR ALEXANDRE CERQUEIRA DA SILVA,Rio de Janeiro,ESTRADA DO PAU FERRO,PECHINCHA,-22.821949,-42.9158954
RAYHAN PSICOLOGIA RENASCER,Niterói,ESTRADA FRANCISCO DA CRUZ NUNES,PIRATININGA,-22.9467504306,-43.0316877365
CLINICA CERECOL,Rio de Janeiro,PC SAENZ PENA,TIJUCA,-22.9243108,-43.2347082
CROI CENTRO DE REABILITACAO ORAL INTEGRADA,Rio de Janeiro,RUA BUENOS AIRES,CENTRO,-22.9032124,-43.1795341
CLINICA DE REABILITACAO INFANTIL NEUROPEDIATRICA,Duque de Caxias,RUA MOGI,JARDIM GRAMACHO,-22.7611755,-43.2882726
RE HABILITAR ESPECIALIZADA EM REABILITACAO PEDIATRICA,São João de Meriti,AVENIDA NOSSA SENHORA DAS GRACAS,CENTRO,-22.8049,-43.36735
PABLO CERANTE MOREIRA SERVICOS MEDICOS,Rio de Janeiro,RUA CONDE DE BONFIM,TIJUCA,-22.85767,-42.2576585
CLINICA CERN SERVICOS DE FISIOTERAPIA,Rio de Janeiro,R JARDIM BOTANICO,JARDIM BOTANICO,-22.968197,-43.225933
JOSE LUIZ DE LACERDA JUNIOR,Rio de Janeiro,RUA FELIPE CARDOSO,SANTA CRUZ,-22.9227057,-43.67950558
SMS CAPSI ZIRALDO AP 22,Rio de Janeiro,MATA MACHADO,MARACANA,-22.913578,-43.225321
SMS CAPSI MAFALDA AP 53,Rio de Janeiro,RUA ALVARO ALBERTO,SANTA CRUZ,-22.9154982,-43.683313
ENCANTE ESPACO MULTIDISCIPLINAR E REABILITACAO,Rio de Janeiro,RUA ANDRE PINTO,RAMOS,-22.852857759,-43.2580116842
DESPERTAR DO CRESCER,Niterói,R DA CONCEICAO,CENTRO,-22.8942073,-43.1210009
CENTRO DE REFERENCIA MUNICIPAL DE AUTISMO II,São Gonçalo,RUA ANTONIO RODRIGUES FIGUEIREDO,CENTRO,-22.654256,-43.111258
SEMEAR CLINICA INTERDISCIPLINAR ESPECIALIZADA EM AUTISMO,Rio de Janeiro,WALDEMAR MEDRADO DIAS,CAMPO GRANDE,-22.879,-43.229
SMS CAPS AD III CAROLINA MARIA DE JESUS AP 10,Rio de Janeiro,RUA DA EMANCIPACAO,SAO CRISTOVAO,-22.89915,-43.22784
SMS CAPS AD III DONA IVONE LARA AP 33,Rio de Janeiro,AVENIDA ERNANI CARDOSO,CASCADURA,-22.88218,-43.33545
CAPACITEAUTISMO NITEROI,Niterói,R MURILO PORTUGAL,SAO FRANCISCO,-22.8964971955,-43.0757403374
ESPACO CRESCER RECREIO,Rio de Janeiro,AVENIDA DAS AMERICAS,RECREIO DOS BANDEIRA,-23.0186775,-43.487240447
CLINICA CRESCER E SORRIR ODONTOLOGIA E PEDIATRIA,Nova Iguaçu,DOUTOR MARIO GUIMARAES,CENTRO,-22.7569036,-43.4623771
